Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb
116120,Tri-Colored,Collie (Rough),PRINCESS,Female,ELIZABETH EAST
116133,Tri-Colored,Beagle,TOM,Male,ELIZABETH PARK
116134,Red/White,Cocker Spaniel,JERRY,Male,ELIZABETH PARK
116158,Gold,Australian Cattle Dog X,BENNY,Male,ELIZABETH NORTH
116159,Tri-Colored,Jack Russell Terrier,JACK,Male,BLAKEVIEW
116220,Black,Pomeranian X,OLIVER,Male,ELIZABETH GROVE
116225,Tan,Chihuahua X,COZAK,Male,ELIZABETH PARK
116230,Tan,Pomeranian X,CHAZ,Male,DAVOREN PARK
116245,Cream,Maltese,ANDY PANDY,Desexed Male,ELIZABETH VALE
116282,Black/White,Border Collie X,BISCUIT,Male,ANDREWS FARM
116319,Tri-Colored,Australian Cattle Dog X,TESS,Female,ELIZABETH EAST
116374,Biscuit,Maltese X,HANNAH,Desexed Female,CRAIGMORE
116406,Tan/White,Chihuahua X,WEE TOOTSIE,Desexed Female,DAVOREN PARK
116431,White,Maltese,MUSHKA,Desexed Female,ELIZABETH PARK
116481,Tan,Chihuahua X,MISSY,Female,CRAIGMORE
116517,Tan,Chihuahua X,MACK,Female,ANGLE VALE
116531,Black /Tan,German Shepherd Dog,MINDY,Female,ELIZABETH DOWNS
116541,Black /Tan,Chihuahua,JEMMA,Female,ANDREWS FARM
116548,Black,Poodle,BELLA,Female,HILLBANK
116549,Cream/Black,Maltese X,SHAMPAS,Desexed Female,MUNNO PARA WEST
116556,Black /Tan,Australian Terrier,ROSIE,Female,CRAIGMORE
116557,White,Fox Terrier (Smooth),DUDE,Male,MUNNO PARA
116573,Black /Tan,German Shepherd Dog,TARA,Female,ELIZABETH GROVE
116626,White,Jack Russell Terrier,STORMY,Female,DAVOREN PARK
116663,Tri-Colored,Beagle,RUBY,Female,HILLBANK
116718,Black,Collie (Rough Coat) X,SNOOPY,Male,SMITHFIELD
116721,White,Bull Terrier X,DOZA,Male,CRAIGMORE
116745,Black /Tan,Rottweiler X,MILLIE,Desexed Female,DAVOREN PARK
116748,Cream/Black,Maltese X,ZOE,Desexed Female,HILLBANK
116765,Brown,Poodle (Miniature) X,HERCULES,Male,BIBARINGA
